Iterations,Brute,Parallel
100,0.666,0.102
200,1.211,0.119
300,1.745,0.138
400,2.317,0.156
500,2.824,0.161
600,3.415,0.189
700,3.964,0.203
800,4.493,0.22
900,5.047,0.237
1000,5.566,0.251
1100,6.19,0.279
1200,6.678,0.275
1300,7.231,0.307
1400,7.769,0.323
1500,8.281,0.322
1600,8.836,0.342
1700,9.386,0.364
1800,9.995,0.373
1900,10.355,0.379
2000,11.026,0.408
2100,11.595,0.431
2200,12.233,0.48
2300,13.66,0.489
2400,13.666,0.526
2500,14.04,0.502
2600,14.799,0.536
2700,15.476,0.547
2800,15.864,0.559
2900,16.391,0.568
3000,16.603,0.592
3100,17.098,0.576
3200,17.911,0.602
3300,18.181,0.608
3400,18.682,0.624
3500,19.129,0.634
3600,19.747,0.659
3700,20.377,0.666
3800,20.826,0.69
3900,21.369,0.697
4000,21.929,0.73
4100,22.419,0.733
4200,23.056,0.756
4300,23.527,0.772
4400,24.051,0.765
4500,24.692,0.795
4600,25.335,0.826
4700,25.844,0.852
4800,26.327,0.866
4900,26.889,0.854
5000,27.511,0.864
