Iteration, Time
100,0.104
200,0.127
300,0.139
400,0.152
500,0.172
600,0.186
700,0.202
800,0.217
900,0.232
1000,0.247
1100,0.273
1200,0.301
1300,0.32
1400,0.33
1500,0.342
1600,0.368
1700,0.397
1800,0.396
1900,0.416
2000,0.428
2100,0.452
2200,0.483
2300,0.475
2400,0.493
2500,0.501
2600,0.523
2700,0.574
2800,0.607
2900,0.597
3000,0.597
3100,0.606
3200,0.632
3300,0.635
3400,0.647
3500,0.674
3600,0.682
3700,0.679
3800,0.738
3900,0.735
4000,0.766
4100,0.779
4200,0.786
4300,0.796
4400,0.807
4500,0.851
4600,0.874
4700,0.879
4800,0.89
4900,0.909
5000,0.916
5100,0.926
5200,0.946
5300,1.017
5400,0.987
5500,1.042
5600,1.022
5700,1.038
5800,1.057
5900,1.065
6000,1.089
6100,1.101
6200,1.128
6300,1.137
6400,1.156
6500,1.176
6600,1.144
6700,1.15
6800,1.176
6900,1.229
7000,1.242
7100,1.202
7200,1.245
7300,1.268
7400,1.299
7500,1.319
7600,1.266
7700,1.28
7800,1.294
7900,1.32
8000,1.377
8100,1.359
8200,1.358
8300,1.386
8400,1.408
8500,1.436
8600,1.432
8700,1.454
8800,1.486
8900,1.467
9000,1.496
9100,1.499
9200,1.542
9300,1.528
9400,1.548
9500,1.58
9600,1.634
9700,1.602
9800,1.607
9900,1.709
10000,1.662
10100,1.703
10200,1.69
10300,1.711
10400,1.745
10500,1.753
10600,1.774
10700,1.765
10800,1.788
10900,1.8
11000,1.855
11100,1.822
11200,1.9
11300,1.95
11400,1.973
11500,1.969
11600,2.013
11700,2.037
11800,2.012
11900,1.959
12000,1.986
12100,2.026
12200,2.011
12300,2.16
12400,2.231
12500,2.228
12600,2.198
12700,2.163
12800,2.136
12900,2.148
13000,2.156
13100,2.167
13200,2.186
13300,2.181
13400,2.26
13500,2.231
13600,2.283
13700,2.278
13800,2.242
13900,2.268
14000,2.28
14100,2.3
14200,2.299
14300,2.319
14400,2.38
14500,2.404
14600,2.392
14700,2.396
14800,2.409
14900,2.418
15000,2.44
15100,2.45
15200,2.468
15300,2.502
15400,2.544
15500,2.514
15600,2.534
15700,2.555
15800,2.586
15900,2.57
16000,2.611
16100,2.615
16200,2.631
16300,2.646
16400,2.669
16500,2.691
16600,2.696
16700,2.712
16800,2.742
16900,2.747
17000,2.759
17100,2.768
17200,2.837
17300,2.883
17400,2.809
17500,2.83
17600,2.86
17700,2.894
17800,2.869
17900,2.908
18000,2.932
18100,2.934
18200,2.95
18300,2.962
18400,3.007
18500,3.007
18600,3.013
18700,3.048
18800,3.111
18900,3.089
19000,3.087
19100,3.107
19200,3.135
19300,3.133
19400,3.163
19500,3.176
19600,3.186
19700,3.195
19800,3.201
19900,3.223
20000,3.247
21000,3.268
22000,3.39
23000,3.543
24000,3.683
25000,3.835
26000,3.985
27000,4.128
28000,4.294
29000,4.458
30000,4.656
31000,4.743
32000,4.899
33000,5.046
34000,5.2
35000,5.346
36000,5.497
37000,5.738
38000,5.8
39000,6.115
40000,6.262
